time_s,encoder_A,encoder_B,quadrature_state,previous_quadrature_state,decoded_encoder_count,encoder_direction,invalid_transition_count,ideal_count_edge,encoder_edge_angle_rad
0.800001,0,1,1,1,46717,0,0,46717,71.6641058889193
0.800002,0,1,1,1,46717,0,0,46717,71.6642106053374
0.800003,0,1,1,1,46717,0,0,46717,71.6643153217561
0.800004,0,1,1,1,46717,0,0,46717,71.6644200381755
0.800005,1,1,3,1,46718,1,0,46718,71.6645247545956
0.800006,1,1,3,3,46718,0,0,46718,71.6646294710164
0.800007,1,1,3,3,46718,0,0,46718,71.6647341874378
0.800008,1,1,3,3,46718,0,0,46718,71.6648389038599
0.800009,1,1,3,3,46718,0,0,46718,71.6649436202827
0.80001,1,1,3,3,46718,0,0,46718,71.6650483367061
0.800011,1,1,3,3,46718,0,0,46718,71.6651530531303
0.800012,1,1,3,3,46718,0,0,46718,71.6652577695552
0.800013,1,1,3,3,46718,0,0,46718,71.6653624859808
0.800014,1,1,3,3,46718,0,0,46718,71.6654672024071
0.800015,1,1,3,3,46718,0,0,46718,71.6655719188341
0.800016,1,1,3,3,46718,0,0,46718,71.6656766352619
0.800017,1,1,3,3,46718,0,0,46718,71.6657813516904
0.800018,1,1,3,3,46718,0,0,46718,71.6658860681196
0.800019,1,1,3,3,46718,0,0,46718,71.6659907845495
0.80002,1,0,2,3,46719,1,0,46719,71.6660955009802
0.800021,1,0,2,2,46719,0,0,46719,71.6662002174117
0.800022,1,0,2,2,46719,0,0,46719,71.6663049338439
0.800023,1,0,2,2,46719,0,0,46719,71.6664096502769
0.800024,1,0,2,2,46719,0,0,46719,71.6665143667107
0.800025,1,0,2,2,46719,0,0,46719,71.6666190831452
0.800026,1,0,2,2,46719,0,0,46719,71.6667237995805
0.800027,1,0,2,2,46719,0,0,46719,71.6668285160166
0.800028,1,0,2,2,46719,0,0,46719,71.6669332324534
0.800029,1,0,2,2,46719,0,0,46719,71.6670379488911
0.80003,1,0,2,2,46719,0,0,46719,71.6671426653296
0.800031,1,0,2,2,46719,0,0,46719,71.6672473817688
0.800032,1,0,2,2,46719,0,0,46719,71.6673520982089
0.800033,1,0,2,2,46719,0,0,46719,71.6674568146498
0.800034,1,0,2,2,46719,0,0,46719,71.6675615310916
0.800035,0,0,0,2,46720,1,0,46720,71.6676662475341
0.800036,0,0,0,0,46720,0,0,46720,71.6677709639775
0.800037,0,0,0,0,46720,0,0,46720,71.6678756804217
0.800038,0,0,0,0,46720,0,0,46720,71.6679803968667
0.800039,0,0,0,0,46720,0,0,46720,71.6680851133126
0.80004,0,0,0,0,46720,0,0,46720,71.6681898297594
0.800041,0,0,0,0,46720,0,0,46720,71.668294546207
0.800042,0,0,0,0,46720,0,0,46720,71.6683992626555
0.800043,0,0,0,0,46720,0,0,46720,71.6685039791048
0.800044,0,0,0,0,46720,0,0,46720,71.668608695555
0.800045,0,0,0,0,46720,0,0,46720,71.6687134120061
0.800046,0,0,0,0,46720,0,0,46720,71.6688181284581
0.800047,0,0,0,0,46720,0,0,46720,71.668922844911
0.800048,0,0,0,0,46720,0,0,46720,71.6690275613647
0.800049,0,1,1,0,46721,1,0,46721,71.6691322778194
0.80005,0,1,1,1,46721,0,0,46721,71.6692369942749
0.800051,0,1,1,1,46721,0,0,46721,71.6693417107314
0.800052,0,1,1,1,46721,0,0,46721,71.6694464271888
0.800053,0,1,1,1,46721,0,0,46721,71.6695511436471
0.800054,0,1,1,1,46721,0,0,46721,71.6696558601063
0.800055,0,1,1,1,46721,0,0,46721,71.6697605765665
0.800056,0,1,1,1,46721,0,0,46721,71.6698652930276
0.800057,0,1,1,1,46721,0,0,46721,71.6699700094896
0.800058,0,1,1,1,46721,0,0,46721,71.6700747259526
0.800059,0,1,1,1,46721,0,0,46721,71.6701794424165
0.80006,0,1,1,1,46721,0,0,46721,71.6702841588814
0.800061,0,1,1,1,46721,0,0,46721,71.6703888753472
0.800062,0,1,1,1,46721,0,0,46721,71.670493591814
0.800063,0,1,1,1,46721,0,0,46721,71.6705983082818
0.800064,1,1,3,1,46722,1,0,46722,71.6707030247506
0.800065,1,1,3,3,46722,0,0,46722,71.6708077412203
0.800066,1,1,3,3,46722,0,0,46722,71.670912457691
0.800067,1,1,3,3,46722,0,0,46722,71.6710171741627
0.800068,1,1,3,3,46722,0,0,46722,71.6711218906354
0.800069,1,1,3,3,46722,0,0,46722,71.6712266071091
0.80007,1,1,3,3,46722,0,0,46722,71.6713313235838
0.800071,1,1,3,3,46722,0,0,46722,71.6714360400595
0.800072,1,1,3,3,46722,0,0,46722,71.6715407565363
0.800073,1,1,3,3,46722,0,0,46722,71.671645473014
0.800074,1,1,3,3,46722,0,0,46722,71.6717501894928
0.800075,1,1,3,3,46722,0,0,46722,71.6718549059727
0.800076,1,1,3,3,46722,0,0,46722,71.6719596224535
0.800077,1,1,3,3,46722,0,0,46722,71.6720643389354
0.800078,1,1,3,3,46722,0,0,46722,71.6721690554184
0.800079,1,0,2,3,46723,1,0,46723,71.6722737719024
0.80008,1,0,2,2,46723,0,0,46723,71.6723784883874
0.800081,1,0,2,2,46723,0,0,46723,71.6724832048735
0.800082,1,0,2,2,46723,0,0,46723,71.6725879213607
0.800083,1,0,2,2,46723,0,0,46723,71.672692637849
0.800084,1,0,2,2,46723,0,0,46723,71.6727973543383
0.800085,1,0,2,2,46723,0,0,46723,71.6729020708287
0.800086,1,0,2,2,46723,0,0,46723,71.6730067873202
0.800087,1,0,2,2,46723,0,0,46723,71.6731115038128
0.800088,1,0,2,2,46723,0,0,46723,71.6732162203064
0.800089,1,0,2,2,46723,0,0,46723,71.6733209368012
0.80009,1,0,2,2,46723,0,0,46723,71.6734256532971
0.800091,1,0,2,2,46723,0,0,46723,71.6735303697941
0.800092,1,0,2,2,46723,0,0,46723,71.6736350862923
0.800093,0,0,0,2,46724,1,0,46724,71.6737398027915
0.800094,0,0,0,0,46724,0,0,46724,71.6738445192919
0.800095,0,0,0,0,46724,0,0,46724,71.6739492357934
0.800096,0,0,0,0,46724,0,0,46724,71.674053952296
0.800097,0,0,0,0,46724,0,0,46724,71.6741586687998
0.800098,0,0,0,0,46724,0,0,46724,71.6742633853047
0.800099,0,0,0,0,46724,0,0,46724,71.6743681018108
0.8001,0,0,0,0,46724,0,0,46724,71.674472818318
