time_s,encoder_A,encoder_B,quadrature_state,previous_quadrature_state,decoded_encoder_count,encoder_direction,invalid_transition_count,ideal_count_edge,encoder_edge_angle_rad
0.800001,0,0,0,0,70076,0,0,70076,107.495768054306
0.800002,0,0,0,0,70076,0,0,70076,107.495925134404
0.800003,0,0,0,0,70076,0,0,70076,107.496082214509
0.800004,0,0,0,0,70076,0,0,70076,107.49623929462
0.800005,0,0,0,0,70076,0,0,70076,107.496396374739
0.800006,0,0,0,0,70076,0,0,70076,107.496553454864
0.800007,0,0,0,0,70076,0,0,70076,107.496710534995
0.800008,0,1,1,0,70077,1,0,70077,107.496867615134
0.800009,0,1,1,1,70077,0,0,70077,107.497024695279
0.80001,0,1,1,1,70077,0,0,70077,107.497181775431
0.800011,0,1,1,1,70077,0,0,70077,107.497338855589
0.800012,0,1,1,1,70077,0,0,70077,107.497495935754
0.800013,0,1,1,1,70077,0,0,70077,107.497653015926
0.800014,0,1,1,1,70077,0,0,70077,107.497810096104
0.800015,0,1,1,1,70077,0,0,70077,107.497967176289
0.800016,0,1,1,1,70077,0,0,70077,107.49812425648
0.800017,0,1,1,1,70077,0,0,70077,107.498281336678
0.800018,1,1,3,1,70078,1,0,70078,107.498438416883
0.800019,1,1,3,3,70078,0,0,70078,107.498595497094
0.80002,1,1,3,3,70078,0,0,70078,107.498752577311
0.800021,1,1,3,3,70078,0,0,70078,107.498909657535
0.800022,1,1,3,3,70078,0,0,70078,107.499066737765
0.800023,1,1,3,3,70078,0,0,70078,107.499223818002
0.800024,1,1,3,3,70078,0,0,70078,107.499380898245
0.800025,1,1,3,3,70078,0,0,70078,107.499537978494
0.800026,1,1,3,3,70078,0,0,70078,107.49969505875
0.800027,1,0,2,3,70079,1,0,70079,107.499852139012
0.800028,1,0,2,2,70079,0,0,70079,107.500009219281
0.800029,1,0,2,2,70079,0,0,70079,107.500166299555
0.80003,1,0,2,2,70079,0,0,70079,107.500323379836
0.800031,1,0,2,2,70079,0,0,70079,107.500480460124
0.800032,1,0,2,2,70079,0,0,70079,107.500637540417
0.800033,1,0,2,2,70079,0,0,70079,107.500794620717
0.800034,1,0,2,2,70079,0,0,70079,107.500951701023
0.800035,1,0,2,2,70079,0,0,70079,107.501108781335
0.800036,1,0,2,2,70079,0,0,70079,107.501265861653
0.800037,0,0,0,2,70080,1,0,70080,107.501422941977
0.800038,0,0,0,0,70080,0,0,70080,107.501580022308
0.800039,0,0,0,0,70080,0,0,70080,107.501737102644
0.80004,0,0,0,0,70080,0,0,70080,107.501894182987
0.800041,0,0,0,0,70080,0,0,70080,107.502051263336
0.800042,0,0,0,0,70080,0,0,70080,107.50220834369
0.800043,0,0,0,0,70080,0,0,70080,107.502365424051
0.800044,0,0,0,0,70080,0,0,70080,107.502522504418
0.800045,0,0,0,0,70080,0,0,70080,107.50267958479
0.800046,0,0,0,0,70080,0,0,70080,107.502836665169
0.800047,0,1,1,0,70081,1,0,70081,107.502993745554
0.800048,0,1,1,1,70081,0,0,70081,107.503150825944
0.800049,0,1,1,1,70081,0,0,70081,107.50330790634
0.80005,0,1,1,1,70081,0,0,70081,107.503464986743
0.800051,0,1,1,1,70081,0,0,70081,107.503622067151
0.800052,0,1,1,1,70081,0,0,70081,107.503779147565
0.800053,0,1,1,1,70081,0,0,70081,107.503936227985
0.800054,0,1,1,1,70081,0,0,70081,107.50409330841
0.800055,0,1,1,1,70081,0,0,70081,107.504250388842
0.800056,0,1,1,1,70081,0,0,70081,107.504407469279
0.800057,1,1,3,1,70082,1,0,70082,107.504564549722
0.800058,1,1,3,3,70082,0,0,70082,107.50472163017
0.800059,1,1,3,3,70082,0,0,70082,107.504878710625
0.80006,1,1,3,3,70082,0,0,70082,107.505035791084
0.800061,1,1,3,3,70082,0,0,70082,107.50519287155
0.800062,1,1,3,3,70082,0,0,70082,107.505349952021
0.800063,1,1,3,3,70082,0,0,70082,107.505507032498
0.800064,1,1,3,3,70082,0,0,70082,107.505664112981
0.800065,1,1,3,3,70082,0,0,70082,107.505821193469
0.800066,1,0,2,3,70083,1,0,70083,107.505978273963
0.800067,1,0,2,2,70083,0,0,70083,107.506135354462
0.800068,1,0,2,2,70083,0,0,70083,107.506292434967
0.800069,1,0,2,2,70083,0,0,70083,107.506449515477
0.80007,1,0,2,2,70083,0,0,70083,107.506606595993
0.800071,1,0,2,2,70083,0,0,70083,107.506763676514
0.800072,1,0,2,2,70083,0,0,70083,107.506920757041
0.800073,1,0,2,2,70083,0,0,70083,107.507077837573
0.800074,1,0,2,2,70083,0,0,70083,107.50723491811
0.800075,1,0,2,2,70083,0,0,70083,107.507391998653
0.800076,0,0,0,2,70084,1,0,70084,107.507549079202
0.800077,0,0,0,0,70084,0,0,70084,107.507706159755
0.800078,0,0,0,0,70084,0,0,70084,107.507863240315
0.800079,0,0,0,0,70084,0,0,70084,107.508020320879
0.80008,0,0,0,0,70084,0,0,70084,107.508177401449
0.800081,0,0,0,0,70084,0,0,70084,107.508334482024
0.800082,0,0,0,0,70084,0,0,70084,107.508491562604
0.800083,0,0,0,0,70084,0,0,70084,107.508648643189
0.800084,0,0,0,0,70084,0,0,70084,107.50880572378
0.800085,0,0,0,0,70084,0,0,70084,107.508962804376
0.800086,0,1,1,0,70085,1,0,70085,107.509119884977
0.800087,0,1,1,1,70085,0,0,70085,107.509276965583
0.800088,0,1,1,1,70085,0,0,70085,107.509434046195
0.800089,0,1,1,1,70085,0,0,70085,107.509591126811
0.80009,0,1,1,1,70085,0,0,70085,107.509748207433
0.800091,0,1,1,1,70085,0,0,70085,107.50990528806
0.800092,0,1,1,1,70085,0,0,70085,107.510062368692
0.800093,0,1,1,1,70085,0,0,70085,107.510219449328
0.800094,0,1,1,1,70085,0,0,70085,107.51037652997
0.800095,0,1,1,1,70085,0,0,70085,107.510533610617
0.800096,1,1,3,1,70086,1,0,70086,107.510690691269
0.800097,1,1,3,3,70086,0,0,70086,107.510847771926
0.800098,1,1,3,3,70086,0,0,70086,107.511004852588
0.800099,1,1,3,3,70086,0,0,70086,107.511161933255
0.8001,1,1,3,3,70086,0,0,70086,107.511319013927
