time_s,encoder_A,encoder_B,quadrature_state,previous_quadrature_state,decoded_encoder_count,encoder_direction,invalid_transition_count,ideal_count_edge,encoder_edge_angle_rad
0.800001,0,1,1,1,93225,0,0,93225,143.00594036089
0.800002,0,1,1,1,93225,0,0,93225,143.006149798104
0.800003,0,1,1,1,93225,0,0,93225,143.006359235324
0.800004,0,1,1,1,93225,0,0,93225,143.00656867255
0.800005,0,1,1,1,93225,0,0,93225,143.006778109782
0.800006,1,1,3,1,93226,1,0,93226,143.00698754702
0.800007,1,1,3,3,93226,0,0,93226,143.007196984264
0.800008,1,1,3,3,93226,0,0,93226,143.007406421513
0.800009,1,1,3,3,93226,0,0,93226,143.007615858769
0.80001,1,1,3,3,93226,0,0,93226,143.00782529603
0.800011,1,1,3,3,93226,0,0,93226,143.008034733297
0.800012,1,1,3,3,93226,0,0,93226,143.008244170569
0.800013,1,0,2,3,93227,1,0,93227,143.008453607848
0.800014,1,0,2,2,93227,0,0,93227,143.008663045132
0.800015,1,0,2,2,93227,0,0,93227,143.008872482422
0.800016,1,0,2,2,93227,0,0,93227,143.009081919718
0.800017,1,0,2,2,93227,0,0,93227,143.009291357019
0.800018,1,0,2,2,93227,0,0,93227,143.009500794326
0.800019,1,0,2,2,93227,0,0,93227,143.009710231639
0.80002,1,0,2,2,93227,0,0,93227,143.009919668957
0.800021,0,0,0,2,93228,1,0,93228,143.010129106281
0.800022,0,0,0,0,93228,0,0,93228,143.010338543611
0.800023,0,0,0,0,93228,0,0,93228,143.010547980946
0.800024,0,0,0,0,93228,0,0,93228,143.010757418286
0.800025,0,0,0,0,93228,0,0,93228,143.010966855633
0.800026,0,0,0,0,93228,0,0,93228,143.011176292984
0.800027,0,0,0,0,93228,0,0,93228,143.011385730342
0.800028,0,1,1,0,93229,1,0,93229,143.011595167705
0.800029,0,1,1,1,93229,0,0,93229,143.011804605073
0.80003,0,1,1,1,93229,0,0,93229,143.012014042447
0.800031,0,1,1,1,93229,0,0,93229,143.012223479826
0.800032,0,1,1,1,93229,0,0,93229,143.012432917211
0.800033,0,1,1,1,93229,0,0,93229,143.012642354601
0.800034,0,1,1,1,93229,0,0,93229,143.012851791997
0.800035,1,1,3,1,93230,1,0,93230,143.013061229398
0.800036,1,1,3,3,93230,0,0,93230,143.013270666804
0.800037,1,1,3,3,93230,0,0,93230,143.013480104216
0.800038,1,1,3,3,93230,0,0,93230,143.013689541633
0.800039,1,1,3,3,93230,0,0,93230,143.013898979056
0.80004,1,1,3,3,93230,0,0,93230,143.014108416484
0.800041,1,1,3,3,93230,0,0,93230,143.014317853917
0.800042,1,1,3,3,93230,0,0,93230,143.014527291355
0.800043,1,0,2,3,93231,1,0,93231,143.014736728799
0.800044,1,0,2,2,93231,0,0,93231,143.014946166248
0.800045,1,0,2,2,93231,0,0,93231,143.015155603702
0.800046,1,0,2,2,93231,0,0,93231,143.015365041161
0.800047,1,0,2,2,93231,0,0,93231,143.015574478626
0.800048,1,0,2,2,93231,0,0,93231,143.015783916096
0.800049,1,0,2,2,93231,0,0,93231,143.015993353571
0.80005,0,0,0,2,93232,1,0,93232,143.016202791051
0.800051,0,0,0,0,93232,0,0,93232,143.016412228536
0.800052,0,0,0,0,93232,0,0,93232,143.016621666027
0.800053,0,0,0,0,93232,0,0,93232,143.016831103522
0.800054,0,0,0,0,93232,0,0,93232,143.017040541023
0.800055,0,0,0,0,93232,0,0,93232,143.017249978529
0.800056,0,0,0,0,93232,0,0,93232,143.01745941604
0.800057,0,1,1,0,93233,1,0,93233,143.017668853555
0.800058,0,1,1,1,93233,0,0,93233,143.017878291076
0.800059,0,1,1,1,93233,0,0,93233,143.018087728602
0.80006,0,1,1,1,93233,0,0,93233,143.018297166133
0.800061,0,1,1,1,93233,0,0,93233,143.018506603669
0.800062,0,1,1,1,93233,0,0,93233,143.01871604121
0.800063,0,1,1,1,93233,0,0,93233,143.018925478756
0.800064,0,1,1,1,93233,0,0,93233,143.019134916307
0.800065,1,1,3,1,93234,1,0,93234,143.019344353863
0.800066,1,1,3,3,93234,0,0,93234,143.019553791423
0.800067,1,1,3,3,93234,0,0,93234,143.019763228989
